cycle,cmte_id,name,city,state,transaction_dt,transaction_amt,purpose,category_desc,memo_text,memo_cd,rpt_yr,sub_id,vendor_ids,vendor_names,vendor_groups,confidences,use_categories
2022,C00500843,DESCRIPT INC.,SAN FRANCISCO,CA,07/21/2021,14,SUBSCRIPTION,,*,X,2021,4012520221389627755,descript,Descript,general_purpose,high,administrative_productivity
2022,C00500843,DESCRIPT INC.,SAN FRANCISCO,CA,08/21/2021,14,SUBSCRIPTION,,*,X,2021,4012520221389627822,descript,Descript,general_purpose,high,administrative_productivity
2022,C00500843,DESCRIPT INC.,SAN FRANCISCO,CA,09/21/2021,14,SUBSCRIPTION,,*,X,2021,4012520221389627918,descript,Descript,general_purpose,high,administrative_productivity
2022,C00410639,CLAUDE CROWN SEDAN,TEMPLE HILLS,MD,06/03/2022,156,TRANSPORTATION FROM AIRPORT TO DC HOME,Administrative/Salary/Overhead Expenses ,*,X,2022,4061420221501207932,anthropic,Anthropic (Claude),general_purpose,medium,administrative_productivity
2022,C00401190,CLAUDE BROWN,WILSON,NC,10/28/2021,735,OFFICE ASSISTANCE LABOR,,,,2021,4011920221388773788,anthropic,Anthropic (Claude),general_purpose,medium,unspecified
2022,C00401190,CLAUDE BROWN,WILSON,NC,12/12/2021,510,OFFICE ASSISTANCE LABOR,,,,2021,4011920221388773789,anthropic,Anthropic (Claude),general_purpose,medium,unspecified
2022,C00401190,CLAUDE BROWN,WILSON,NC,12/21/2021,250,OFFICE ASSISTANCE LABOR,,,,2021,4011920221388773790,anthropic,Anthropic (Claude),general_purpose,medium,unspecified
2022,C00663211,"TAYLOR, CLAUDE",SILVER SPRING,MD,07/07/2021,1500,PAYROLL,,,,2021,4021520221407908057,anthropic,Anthropic (Claude),general_purpose,medium,unspecified
2022,C00663211,"TAYLOR, CLAUDE",SILVER SPRING,MD,07/12/2021,500,PAYROLL,,,,2021,4021520221407908058,anthropic,Anthropic (Claude),general_purpose,medium,unspecified
2022,C00663211,"TAYLOR, CLAUDE",SILVER SPRING,MD,07/21/2021,42.4,REIMBURSEMENT (VENDORS THAT AGGREGATE OVER $200 LISTED BELOW),,,,2021,4021520221407908059,anthropic,Anthropic (Claude),general_purpose,medium,unspecified
2022,C00663211,"TAYLOR, CLAUDE",SILVER SPRING,MD,07/27/2021,500,PAYROLL,,,,2021,4021520221407908060,anthropic,Anthropic (Claude),general_purpose,medium,unspecified
2022,C00663211,"TAYLOR, CLAUDE",SILVER SPRING,MD,08/02/2021,1500,PAYROLL,,,,2021,4021520221407908061,anthropic,Anthropic (Claude),general_purpose,medium,unspecified
2022,C00663211,"TAYLOR, CLAUDE",SILVER SPRING,MD,08/09/2021,500,PAYROLL,,,,2021,4021520221407908062,anthropic,Anthropic (Claude),general_purpose,medium,unspecified
2022,C00663211,"TAYLOR, CLAUDE",SILVER SPRING,MD,08/17/2021,500,PAYROLL,,,,2021,4021520221407908063,anthropic,Anthropic (Claude),general_purpose,medium,unspecified
