cycle,cmte_id,name,city,state,transaction_dt,transaction_amt,purpose,category_desc,memo_text,memo_cd,rpt_yr,sub_id,vendor_ids,vendor_names,vendor_groups,confidences,use_categories
2026,C00641555,DONORATLAS,SEATTLE,WA,07/02/2025,300,SOFTWARE SUBSCRIPTION,,*,X,2025,4022620261359614082,donoratlas,DonorAtlas,political_specific,high,administrative_productivity
2026,C00641555,DONORATLAS,SEATTLE,WA,09/18/2025,300,SOFTWARE SUBSCRIPTION,,*,X,2025,4022620261359614104,donoratlas,DonorAtlas,political_specific,high,administrative_productivity
2026,C00641555,DONORATLAS,SEATTLE,WA,11/04/2025,300,SOFTWARE SUBSCRIPTION,,*,X,2025,4022620261359614122,donoratlas,DonorAtlas,political_specific,high,administrative_productivity
2026,C00641555,DONORATLAS,SEATTLE,WA,10/09/2025,300,SOFTWARE SUBSCRIPTION,,*,X,2025,4022620261359614179,donoratlas,DonorAtlas,political_specific,high,administrative_productivity
2026,C00641555,DONORATLAS,SEATTLE,WA,12/11/2025,300,SOFTWARE SUBSCRIPTION,,*,X,2025,4022620261359614202,donoratlas,DonorAtlas,political_specific,high,administrative_productivity
2026,C00692319,"OPENAI, INC",SAN FRANCISCO,CA,12/01/2025,22.07,SUBSCRIPTION,,,,2025,4021720261308853109,openai,OpenAI (ChatGPT),general_purpose,high,administrative_productivity
2026,C00692319,"OPENAI, INC",SAN FRANCISCO,CA,12/31/2025,22.07,SUBSCRIPTION,,,,2025,4021720261308853110,openai,OpenAI (ChatGPT),general_purpose,high,administrative_productivity
2026,C00543983,OPENAI,SAN FRANCISCO,CA,03/13/2026,120,SUBSCRIPTION,Administrative/Salary/Overhead Expenses ,,X,2026,4060320261520149463,openai,OpenAI (ChatGPT),general_purpose,high,administrative_productivity
2026,C00543983,OPENAI,SAN FRANCISCO,CA,02/13/2026,120,SUBSCRIPTION,Administrative/Salary/Overhead Expenses ,,X,2026,4060320261520149464,openai,OpenAI (ChatGPT),general_purpose,high,administrative_productivity
2026,C00603084,ANTHROPIC,SAN FRANCISCO,CA,09/11/2025,953.23,SOFTWARE,,*,X,2025,4121020251298126518,anthropic,Anthropic (Claude),general_purpose,high,administrative_productivity
2026,C00255695,OPENAI,SAN FRANCISCO,CA,07/05/2026,79.5,"SOFTWARE, HARDWARE & OTHER IT",,,X,2026,4082620261585218773,openai,OpenAI (ChatGPT),general_purpose,high,administrative_productivity
2026,C00806893,DONORATLAS,NEW YORK,NY,02/21/2025,600,SOFTWARE,,,,2025,4031820251180312125,donoratlas,DonorAtlas,political_specific,high,administrative_productivity
2026,C00844159,DESCRIPT,SAN FRANCISCO,CA,03/25/2025,50,OFFICE AND SHIPPING,Administrative/Salary/Overhead Expenses ,MEMO: DEBT SUBVENDOR OF  CHASE INK,X,2025,4042320251186363007,descript,Descript,general_purpose,high,administrative_productivity
2026,C00597013,OPENAI,SAN FRANCISCO,CA,09/24/2025,22.1,SOFTWARE,Administrative/Salary/Overhead Expenses ,,X,2025,4030920261420495717,openai,OpenAI (ChatGPT),general_purpose,high,administrative_productivity
2026,C00597013,OPENAI,SAN FRANCISCO,CA,10/24/2025,22.1,SOFTWARE,Administrative/Salary/Overhead Expenses ,,X,2025,4030920261420495695,openai,OpenAI (ChatGPT),general_purpose,high,administrative_productivity
2026,C00597013,OPENAI,SAN FRANCISCO,CA,11/24/2025,22.1,SOFTWARE,Administrative/Salary/Overhead Expenses ,,X,2025,4030920261420495642,openai,OpenAI (ChatGPT),general_purpose,high,administrative_productivity
2026,C00631549,CHORUS AI,BROOKLYN,NY,11/29/2024,350,COMPUTER SOFTWARE,,*,X,2025,4080120251213112702,chorus_ai,Chorus AI,political_specific,high,administrative_productivity
2026,C00631549,CHORUS AI,BROOKLYN,NY,01/30/2025,350,COMPUTER SOFTWARE,,*,X,2025,4080120251213112788,chorus_ai,Chorus AI,political_specific,high,administrative_productivity
2026,C00631549,CHORUS AI,BROOKLYN,NY,12/30/2024,350,COMPUTER SOFTWARE,,*,X,2025,4080120251213112731,chorus_ai,Chorus AI,political_specific,high,administrative_productivity
2026,C00631549,CHORUS AI,BROOKLYN,NY,04/29/2025,350,COMPUTER SOFTWARE,,*,X,2025,4080120251213112985,chorus_ai,Chorus AI,political_specific,high,administrative_productivity
2026,C00631549,CHORUS AI,BROOKLYN,NY,02/27/2025,350,COMPUTER SOFTWARE,,*,X,2025,4080120251213112838,chorus_ai,Chorus AI,political_specific,high,administrative_productivity
2026,C00631549,CHORUS AI,BROOKLYN,NY,03/30/2025,350,COMPUTER SOFTWARE,,*,X,2025,4080120251213112934,chorus_ai,Chorus AI,political_specific,high,administrative_productivity
2026,C00631549,CHORUS AI,BROOKLYN,NY,05/30/2025,350,COMPUTER SOFTWARE,,*,X,2025,4080120251213113040,chorus_ai,Chorus AI,political_specific,high,administrative_productivity
2026,C00580068,OPEN AI CHATGPT,SAN FRANCISCO,CA,01/12/2026,360,SOFTWARE,,*,X,2026,4031220261421943392,openai,OpenAI (ChatGPT),general_purpose,high,administrative_productivity
2026,C00141812,"JARBOE, AARON CLAUDE",WASHINGTON,DC,06/05/2025,2864.31,PAYROLL,,,,2025,4082620251244871730,anthropic,Anthropic (Claude),general_purpose,medium,unspecified
2026,C00141812,"JARBOE, AARON CLAUDE",WASHINGTON,DC,06/20/2025,3011.19,PAYROLL,,,,2025,4082620251244871731,anthropic,Anthropic (Claude),general_purpose,medium,unspecified
2026,C00925479,ANTHROPIC PBC,SAN FRANCISCO,CA,06/15/2026,106.25,SOFTWARE SUBSCRIPTION (CONTENT/DATA TOOLS),,,,2026,4071520261534492044,anthropic,Anthropic (Claude),general_purpose,high,administrative_productivity
2026,C00141812,"JARBOE, AARON CLAUDE",WASHINGTON,DC,07/04/2025,3011.2,PAYROLL,,,,2025,4082520251244607059,anthropic,Anthropic (Claude),general_purpose,medium,unspecified
2026,C00843508,CHATGPT,SAN FRANCISCO,CA,09/05/2025,200,SOFTWARE EXPENSE,,,,2025,4112120251294495257,openai,OpenAI (ChatGPT),general_purpose,high,administrative_productivity
2026,C00843508,DESCRIPT INC,SAN FRANCISCO,CA,08/25/2025,39,GRAPHICS & DESIGN EXPENSE,,,,2025,4112120251294495258,descript,Descript,general_purpose,high,advertising_creative
2026,C00843508,DESCRIPT INC,SAN FRANCISCO,CA,09/24/2025,39,GRAPHICS & DESIGN EXPENSE,,,,2025,4112120251294495259,descript,Descript,general_purpose,high,advertising_creative
2026,C00843508,CHATGPT,SAN FRANCISCO,CA,07/07/2025,200,SOFTWARE EXPENSE,,,,2025,4112120251294495255,openai,OpenAI (ChatGPT),general_purpose,high,administrative_productivity
2026,C00843508,CHATGPT,SAN FRANCISCO,CA,08/05/2025,200,SOFTWARE EXPENSE,,,,2025,4112120251294495256,openai,OpenAI (ChatGPT),general_purpose,high,administrative_productivity
2026,C00668228,DONOR ATLAS,NEW YORK,NY,10/17/2025,300,SOFTWARE RENTAL,,,,2025,4031020261420681935,donoratlas,DonorAtlas,political_specific,high,administrative_productivity
2026,C00668228,DONOR ATLAS,NEW YORK,NY,11/17/2025,300,SOFTWARE RENTAL,,,,2025,4031020261420681936,donoratlas,DonorAtlas,political_specific,high,administrative_productivity
2026,C00668228,DONOR ATLAS,NEW YORK,NY,12/17/2025,300,SOFTWARE RENTAL,,,,2025,4031020261420681937,donoratlas,DonorAtlas,political_specific,high,administrative_productivity
2026,C00848333,CHATGPT,BETHESDA,MD,07/02/2025,20,SUBSCRIPTION,Advertising Expenses ,,X,2025,4081920261584173510,openai,OpenAI (ChatGPT),general_purpose,high,advertising_creative;administrative_productivity
2026,C00848333,CHATGPT,BETHESDA,MD,08/02/2025,20,SUBSCRIPTION,Advertising Expenses ,,X,2025,4081920261584173578,openai,OpenAI (ChatGPT),general_purpose,high,advertising_creative;administrative_productivity
2026,C00848333,CHATGPT,BETHESDA,MD,05/02/2025,20,SUBSCRIPTION,Advertising Expenses ,,X,2025,4081920261584173512,openai,OpenAI (ChatGPT),general_purpose,high,advertising_creative;administrative_productivity
2026,C00848333,CHATGPT,BETHESDA,MD,04/02/2025,20,SUBSCRIPTION,Advertising Expenses ,,X,2025,4081920261584173538,openai,OpenAI (ChatGPT),general_purpose,high,advertising_creative;administrative_productivity
2026,C00848333,CHATGPT,BETHESDA,MD,05/28/2025,20,SUBSCRIPTION,Advertising Expenses ,,X,2025,4081920261584173545,openai,OpenAI (ChatGPT),general_purpose,high,advertising_creative;administrative_productivity
2026,C00597013,OPENAI,SAN FRANCISCO,CA,02/18/2025,22.1,CHAT GPT SUBSCRIPTION,Administrative/Salary/Overhead Expenses ,,X,2025,4042420251186632390,openai,OpenAI (ChatGPT),general_purpose,high,administrative_productivity
2026,C00597013,OPENAI,SAN FRANCISCO,CA,12/20/2024,20,CHAT GPT SUBSCRIPTION,Administrative/Salary/Overhead Expenses ,,X,2025,4042420251186632393,openai,OpenAI (ChatGPT),general_purpose,high,administrative_productivity
2026,C00597013,OPENAI,SAN FRANCISCO,CA,03/24/2026,22.1,SOFTWARE,Administrative/Salary/Overhead Expenses ,,X,2026,4060220261519962683,openai,OpenAI (ChatGPT),general_purpose,high,administrative_productivity
2026,C00457556,CHATGPT,SAN FRANCISCO,CA,08/20/2025,22.2,WEB EXPENSE,,,,2025,4010720261300321489,openai,OpenAI (ChatGPT),general_purpose,high,unspecified
2026,C00457556,CHATGPT,SAN FRANCISCO,CA,09/22/2025,22.2,WEB EXPENSE,,,,2025,4010720261300321501,openai,OpenAI (ChatGPT),general_purpose,high,unspecified
2026,C00457556,CHATGPT,SAN FRANCISCO,CA,07/21/2025,22.2,WEB EXPENSE,,,,2025,4010720261300321478,openai,OpenAI (ChatGPT),general_purpose,high,unspecified
2026,C00764233,OPENAI,SAN FRANCISCO,CA,08/29/2025,63.6,SUBSCRIPTION,,*,X,2025,4092020251291574465,openai,OpenAI (ChatGPT),general_purpose,high,administrative_productivity
2026,C00016899,DONORATLAS,NEW YORK,NY,08/05/2025,300,FUNDRAISING SOFTWARE,,*,X,2025,4092420251292311190,donoratlas,DonorAtlas,political_specific,high,fundraising;administrative_productivity
2026,C00492645,CLAUDE AI,SAN FRANCISCO,CA,12/10/2025,.6,SOFTWARE,,*,X,2025,4021320261308633296,anthropic,Anthropic (Claude),general_purpose,high,administrative_productivity
2026,C00906503,DESCRIPT,SAN FRANCISCO,CA,08/21/2025,288,VIDEO EDITING SOFTWARE,Administrative/Salary/Overhead Expenses ,,,2025,4112020251294215099,descript,Descript,general_purpose,high,advertising_creative;administrative_productivity
2026,C00492645,CLAUDE AI,SAN FRANCISCO,CA,10/12/2025,212,SOFTWARE,,*,X,2025,4021320261308633237,anthropic,Anthropic (Claude),general_purpose,high,administrative_productivity
2026,C00365536,DONORATLAS,NEW YORK,NY,10/17/2025,1667,SOFTWARE SERVICES,,*,X,2025,4011320261301511877,donoratlas,DonorAtlas,political_specific,high,administrative_productivity
2026,C00603084,ANTHROPIC,SAN FRANCISCO,CA,02/09/2026,1208.4,SOFTWARE,,*,X,2026,4031720261423956967,anthropic,Anthropic (Claude),general_purpose,high,administrative_productivity
2026,C00903039,DONORATLAS,NEW YORK,NY,08/04/2025,600,SOFTWARE,,,,2025,4080720261570572576,donoratlas,DonorAtlas,political_specific,high,administrative_productivity
2026,C00903039,DONORATLAS,NEW YORK,NY,07/03/2025,600,SOFTWARE,,,,2025,4080720261570572575,donoratlas,DonorAtlas,political_specific,high,administrative_productivity
2026,C00799031,OPENAI,SAN FRANCISCO,CA,03/23/2026,159,RESEARCH/REFERENCE,,,X,2026,4042420261483624836,openai,OpenAI (ChatGPT),general_purpose,high,research_strategy
